"Method","Estimate (95% credible interval)","FSW percent estimate at methods"
"CRC","0.041 (-0.18, 0.304)","1.29"
"Enumeration","0.209 (-0.013, 0.495)","1.52"
"Expert","-0.212 (-0.599, 0.067)","1.01"
"Mapping","-0.084 (-0.385, 0.188)","1.14"
"Misc","-0.113 (-0.406, 0.142)","1.11"
"Multiple","0.032 (-0.182, 0.286)","1.27"
"Multiplier","-0.051 (-0.301, 0.201)","1.18"
"NR","0.197 (-0.05, 0.528)","1.5"
